period,year,quarter,zip,city,county,Electric,Hydrogen,PHEV,total
2009-Q2,2009,2,90254,,,1,0,0,1
2009-Q2,2009,2,90265,,,1,0,0,1
2009-Q2,2009,2,90272,,,3,0,0,3
2009-Q2,2009,2,90291,,,1,0,0,1
2009-Q2,2009,2,90401,,,2,0,0,2
2009-Q2,2009,2,90402,,,1,0,0,1
2009-Q2,2009,2,90405,,,2,0,0,2
2009-Q2,2009,2,90605,,,1,0,0,1
2009-Q2,2009,2,90720,,,1,0,0,1
2009-Q2,2009,2,90802,,,1,0,0,1
2009-Q2,2009,2,90803,,,1,0,0,1
2009-Q2,2009,2,91007,,,1,0,0,1
2009-Q2,2009,2,91011,,,3,0,0,3
2009-Q2,2009,2,91214,,,1,0,0,1
2009-Q2,2009,2,91302,,,2,0,0,2
2009-Q2,2009,2,91311,,,1,0,0,1
2009-Q2,2009,2,91316,,,2,0,0,2
2009-Q2,2009,2,91325,,,1,0,0,1
2009-Q2,2009,2,91364,,,1,0,0,1
2009-Q2,2009,2,91403,,,1,0,0,1
2009-Q2,2009,2,91731,,,2,0,0,2
2009-Q2,2009,2,91910,,,1,0,0,1
2009-Q2,2009,2,92008,,,1,0,0,1
2009-Q2,2009,2,92014,,,1,0,0,1
2009-Q2,2009,2,92024,,,2,0,0,2
2009-Q2,2009,2,92029,,,1,0,0,1
2009-Q2,2009,2,92037,,,2,0,0,2
2009-Q2,2009,2,92067,,,1,0,0,1
2009-Q2,2009,2,92091,,,1,0,0,1
2009-Q2,2009,2,92101,,,1,0,0,1
2009-Q2,2009,2,92103,,,1,0,0,1
2009-Q2,2009,2,92109,,,1,0,0,1
2009-Q2,2009,2,92117,,,1,0,0,1
2009-Q2,2009,2,92130,,,1,0,0,1
2009-Q2,2009,2,92603,,,1,0,0,1
2009-Q2,2009,2,92625,,,2,0,0,2
2009-Q2,2009,2,92651,,,2,0,0,2
2009-Q2,2009,2,92657,,,3,0,0,3
2009-Q2,2009,2,92660,,,2,0,0,2
2009-Q2,2009,2,92663,,,1,0,0,1
2009-Q2,2009,2,92673,,,2,0,0,2
2009-Q2,2009,2,92675,,,1,0,0,1
2009-Q2,2009,2,92677,,,2,0,0,2
2009-Q2,2009,2,92705,,,2,0,0,2
2009-Q2,2009,2,92831,,,1,0,0,1
2009-Q2,2009,2,93010,,,1,0,0,1
2009-Q2,2009,2,93021,,,1,0,0,1
2009-Q2,2009,2,93062,,,1,0,0,1
2009-Q2,2009,2,93108,,,2,0,0,2
2009-Q2,2009,2,93109,,,1,0,0,1
2009-Q2,2009,2,93110,,,1,0,0,1
2009-Q2,2009,2,93619,,,1,0,0,1
2009-Q2,2009,2,93940,,,1,0,0,1
2009-Q2,2009,2,94010,,,3,0,0,3
2009-Q2,2009,2,94022,,,2,0,0,2
2009-Q2,2009,2,94024,,,3,0,0,3
2009-Q2,2009,2,94025,,,3,0,0,3
2009-Q2,2009,2,94027,,,4,0,0,4
2009-Q2,2009,2,94028,,,3,0,0,3
2009-Q2,2009,2,94062,,,4,0,0,4
