period,year,quarter,county,chargers,zev_sales
2022-Q4,2022,4,Yolo,412,352
2022-Q4,2022,4,Yuba,75,55
2023-Q2,2023,2,Alameda,4504,6562
2023-Q2,2023,2,Alpine,10,0
2023-Q2,2023,2,Amador,34,31
2023-Q2,2023,2,Butte,147,151
2023-Q2,2023,2,Calaveras,21,37
2023-Q2,2023,2,Colusa,36,8
2023-Q2,2023,2,Contra Costa,1674,4231
2023-Q2,2023,2,Del Norte,47,11
2023-Q2,2023,2,El Dorado,202,399
2023-Q2,2023,2,Fresno,1373,1081
2023-Q2,2023,2,Glenn,14,8
2023-Q2,2023,2,Humboldt,157,96
2023-Q2,2023,2,Imperial,50,103
2023-Q2,2023,2,Inyo,52,12
2023-Q2,2023,2,Kern,721,763
2023-Q2,2023,2,Kings,410,90
2023-Q2,2023,2,Lake,14,40
2023-Q2,2023,2,Lassen,16,6
2023-Q2,2023,2,Los Angeles,29051,33128
2023-Q2,2023,2,Madera,203,122
2023-Q2,2023,2,Marin,1048,1157
2023-Q2,2023,2,Mariposa,60,8
2023-Q2,2023,2,Mendocino,203,77
2023-Q2,2023,2,Merced,124,217
2023-Q2,2023,2,Modoc,12,0
2023-Q2,2023,2,Mono,38,16
2023-Q2,2023,2,Monterey,487,525
2023-Q2,2023,2,Napa,433,332
2023-Q2,2023,2,Nevada,144,131
2023-Q2,2023,2,Orange,5797,15483
2023-Q2,2023,2,Placer,518,1249
2023-Q2,2023,2,Plumas,7,7
2023-Q2,2023,2,Riverside,1745,5684
2023-Q2,2023,2,Sacramento,2149,3532
2023-Q2,2023,2,San Benito,28,131
2023-Q2,2023,2,San Bernardino,1767,4709
2023-Q2,2023,2,San Diego,7960,10723
2023-Q2,2023,2,San Francisco,2002,3146
2023-Q2,2023,2,San Joaquin,680,1926
2023-Q2,2023,2,San Luis Obispo,694,504
2023-Q2,2023,2,San Mateo,4619,3921
2023-Q2,2023,2,Santa Barbara,566,747
2023-Q2,2023,2,Santa Clara,17865,10190
2023-Q2,2023,2,Santa Cruz,356,495
2023-Q2,2023,2,Shasta,174,107
2023-Q2,2023,2,Sierra,2,1
2023-Q2,2023,2,Siskiyou,68,19
2023-Q2,2023,2,Solano,560,980
2023-Q2,2023,2,Sonoma,845,1080
2023-Q2,2023,2,Stanislaus,178,531
2023-Q2,2023,2,Sutter,24,81
2023-Q2,2023,2,Tehama,91,28
2023-Q2,2023,2,Trinity,14,3
2023-Q2,2023,2,Tulare,279,258
2023-Q2,2023,2,Tuolumne,54,39
2023-Q2,2023,2,Ventura,870,2610
2023-Q2,2023,2,Yolo,427,471
2023-Q2,2023,2,Yuba,79,57
2023-Q3,2023,3,Alameda,4624,6627
2023-Q3,2023,3,Alpine,10,2
2023-Q3,2023,3,Amador,34,23
2023-Q3,2023,3,Butte,149,146
2023-Q3,2023,3,Calaveras,23,45
2023-Q3,2023,3,Colusa,36,11
2023-Q3,2023,3,Contra Costa,1734,3904
2023-Q3,2023,3,Del Norte,47,8
2023-Q3,2023,3,El Dorado,214,378
2023-Q3,2023,3,Fresno,1313,1173
2023-Q3,2023,3,Glenn,14,12
2023-Q3,2023,3,Humboldt,157,87
2023-Q3,2023,3,Imperial,50,130
2023-Q3,2023,3,Inyo,54,19
2023-Q3,2023,3,Kern,797,811
2023-Q3,2023,3,Kings,419,86
2023-Q3,2023,3,Lake,17,37
2023-Q3,2023,3,Lassen,16,3
2023-Q3,2023,3,Los Angeles,29433,33508
2023-Q3,2023,3,Madera,202,155
2023-Q3,2023,3,Marin,1082,1101
2023-Q3,2023,3,Mariposa,59,15
2023-Q3,2023,3,Mendocino,214,76
2023-Q3,2023,3,Merced,155,218
2023-Q3,2023,3,Modoc,12,0
2023-Q3,2023,3,Mono,38,10
2023-Q3,2023,3,Monterey,480,587
2023-Q3,2023,3,Napa,442,306
2023-Q3,2023,3,Nevada,144,145
2023-Q3,2023,3,Orange,6002,14370
2023-Q3,2023,3,Placer,522,1292
2023-Q3,2023,3,Plumas,7,11
2023-Q3,2023,3,Riverside,1835,5451
2023-Q3,2023,3,Sacramento,2205,3357
2023-Q3,2023,3,San Benito,29,117
2023-Q3,2023,3,San Bernardino,1841,4388
2023-Q3,2023,3,San Diego,8094,9900
2023-Q3,2023,3,San Francisco,2070,2872
2023-Q3,2023,3,San Joaquin,728,1697
2023-Q3,2023,3,San Luis Obispo,705,533
2023-Q3,2023,3,San Mateo,4798,4823
2023-Q3,2023,3,Santa Barbara,526,815
2023-Q3,2023,3,Santa Clara,18193,10287
2023-Q3,2023,3,Santa Cruz,369,570
2023-Q3,2023,3,Shasta,179,136
2023-Q3,2023,3,Sierra,2,1
2023-Q3,2023,3,Siskiyou,69,15
2023-Q3,2023,3,Solano,578,885
2023-Q3,2023,3,Sonoma,871,1014
2023-Q3,2023,3,Stanislaus,202,619
2023-Q3,2023,3,Sutter,31,87
2023-Q3,2023,3,Tehama,91,41
2023-Q3,2023,3,Trinity,12,6
2023-Q3,2023,3,Tulare,275,310
2023-Q3,2023,3,Tuolumne,54,38
2023-Q3,2023,3,Ventura,875,2393
2023-Q3,2023,3,Yolo,432,468
2023-Q3,2023,3,Yuba,80,72
2023-Q4,2023,4,Alameda,5893,5145
2023-Q4,2023,4,Alpine,12,0
2023-Q4,2023,4,Amador,34,23
2023-Q4,2023,4,Butte,157,140
2023-Q4,2023,4,Calaveras,23,38
2023-Q4,2023,4,Colusa,37,5
2023-Q4,2023,4,Contra Costa,1632,3483
2023-Q4,2023,4,Del Norte,46,6
2023-Q4,2023,4,El Dorado,258,375
2023-Q4,2023,4,Fresno,1292,925
2023-Q4,2023,4,Glenn,8,10
2023-Q4,2023,4,Humboldt,157,80
2023-Q4,2023,4,Imperial,52,102
2023-Q4,2023,4,Inyo,83,9
2023-Q4,2023,4,Kern,832,709
2023-Q4,2023,4,Kings,431,80
2023-Q4,2023,4,Lake,18,39
2023-Q4,2023,4,Lassen,16,7
2023-Q4,2023,4,Los Angeles,31569,29526
2023-Q4,2023,4,Madera,203,90
2023-Q4,2023,4,Marin,1020,1112
2023-Q4,2023,4,Mariposa,62,9
2023-Q4,2023,4,Mendocino,229,70
2023-Q4,2023,4,Merced,182,163
2023-Q4,2023,4,Modoc,12,2
2023-Q4,2023,4,Mono,52,15
2023-Q4,2023,4,Monterey,491,494
2023-Q4,2023,4,Napa,478,408
2023-Q4,2023,4,Nevada,149,135
2023-Q4,2023,4,Orange,6771,12379
2023-Q4,2023,4,Placer,622,1100
2023-Q4,2023,4,Plumas,7,10
2023-Q4,2023,4,Riverside,1835,5040
2023-Q4,2023,4,Sacramento,2253,2717
2023-Q4,2023,4,San Benito,27,115
2023-Q4,2023,4,San Bernardino,1957,3883
2023-Q4,2023,4,San Diego,8583,8840
2023-Q4,2023,4,San Francisco,2431,2048
2023-Q4,2023,4,San Joaquin,825,1318
2023-Q4,2023,4,San Luis Obispo,777,556
2023-Q4,2023,4,San Mateo,5533,3037
2023-Q4,2023,4,Santa Barbara,648,780
2023-Q4,2023,4,Santa Clara,20220,8348
2023-Q4,2023,4,Santa Cruz,359,496
2023-Q4,2023,4,Shasta,227,121
2023-Q4,2023,4,Sierra,2,1
2023-Q4,2023,4,Siskiyou,77,16
2023-Q4,2023,4,Solano,608,845
2023-Q4,2023,4,Sonoma,902,1035
2023-Q4,2023,4,Stanislaus,249,495
2023-Q4,2023,4,Sutter,35,74
2023-Q4,2023,4,Tehama,94,24
2023-Q4,2023,4,Trinity,15,2
2023-Q4,2023,4,Tulare,291,240
2023-Q4,2023,4,Tuolumne,55,52
2023-Q4,2023,4,Ventura,930,2266
2023-Q4,2023,4,Yolo,468,373
2023-Q4,2023,4,Yuba,69,69
2024-Q3,2024,3,Alameda,6478,5510
2024-Q3,2024,3,Alpine,12,1
2024-Q3,2024,3,Amador,72,37
2024-Q3,2024,3,Butte,259,122
2024-Q3,2024,3,Calaveras,41,53
2024-Q3,2024,3,Colusa,53,9
2024-Q3,2024,3,Contra Costa,2384,3750
2024-Q3,2024,3,Del Norte,83,15
2024-Q3,2024,3,El Dorado,326,409
2024-Q3,2024,3,Fresno,1879,1019
2024-Q3,2024,3,Glenn,33,9
2024-Q3,2024,3,Humboldt,275,101
2024-Q3,2024,3,Imperial,108,198
2024-Q3,2024,3,Inyo,110,13
2024-Q3,2024,3,Kern,1282,872
2024-Q3,2024,3,Kings,298,90
2024-Q3,2024,3,Lake,50,32
2024-Q3,2024,3,Lassen,19,3
2024-Q3,2024,3,Los Angeles,60698,33169
2024-Q3,2024,3,Madera,317,138
2024-Q3,2024,3,Marin,1290,1234
2024-Q3,2024,3,Mariposa,145,7
2024-Q3,2024,3,Mendocino,329,73
2024-Q3,2024,3,Merced,322,215
2024-Q3,2024,3,Modoc,12,1
2024-Q3,2024,3,Mono,81,11
2024-Q3,2024,3,Monterey,769,525
2024-Q3,2024,3,Napa,775,407
2024-Q3,2024,3,Nevada,184,123
2024-Q3,2024,3,Orange,8522,14097
2024-Q3,2024,3,Placer,1072,1336
2024-Q3,2024,3,Plumas,16,13
2024-Q3,2024,3,Riverside,3206,5987
2024-Q3,2024,3,Sacramento,3984,3689
2024-Q3,2024,3,San Benito,65,125
2024-Q3,2024,3,San Bernardino,2911,4573
2024-Q3,2024,3,San Diego,10982,9968
2024-Q3,2024,3,San Francisco,2853,2371
2024-Q3,2024,3,San Joaquin,1173,1454
2024-Q3,2024,3,San Luis Obispo,1063,496
2024-Q3,2024,3,San Mateo,6994,3210
2024-Q3,2024,3,Santa Barbara,1105,825
2024-Q3,2024,3,Santa Clara,23365,10579
2024-Q3,2024,3,Santa Cruz,542,475
2024-Q3,2024,3,Shasta,392,127
2024-Q3,2024,3,Sierra,3,3
2024-Q3,2024,3,Siskiyou,114,18
2024-Q3,2024,3,Solano,970,878
2024-Q3,2024,3,Sonoma,1376,1001
2024-Q3,2024,3,Stanislaus,379,605
2024-Q3,2024,3,Sutter,47,82
2024-Q3,2024,3,Tehama,156,27
2024-Q3,2024,3,Trinity,19,3
2024-Q3,2024,3,Tulare,488,322
2024-Q3,2024,3,Tuolumne,100,37
2024-Q3,2024,3,Ventura,1531,2734
2024-Q3,2024,3,Yolo,810,420
2024-Q3,2024,3,Yuba,112,84
2025-Q1,2025,1,Alameda,7738,5542
2025-Q1,2025,1,Alpine,22,0
2025-Q1,2025,1,Amador,67,31
2025-Q1,2025,1,Butte,315,120
2025-Q1,2025,1,Calaveras,48,38
2025-Q1,2025,1,Colusa,47,13
2025-Q1,2025,1,Contra Costa,2570,3332
2025-Q1,2025,1,Del Norte,61,6
2025-Q1,2025,1,El Dorado,348,387
2025-Q1,2025,1,Fresno,1922,890
2025-Q1,2025,1,Glenn,36,10
2025-Q1,2025,1,Humboldt,319,80
2025-Q1,2025,1,Imperial,155,194
2025-Q1,2025,1,Inyo,139,15
2025-Q1,2025,1,Kern,1450,806
2025-Q1,2025,1,Kings,492,89
2025-Q1,2025,1,Lake,107,31
2025-Q1,2025,1,Lassen,23,5
2025-Q1,2025,1,Los Angeles,72994,29255
2025-Q1,2025,1,Madera,276,111
2025-Q1,2025,1,Marin,1372,1320
2025-Q1,2025,1,Mariposa,141,8
2025-Q1,2025,1,Mendocino,339,59
2025-Q1,2025,1,Merced,280,163
2025-Q1,2025,1,Modoc,15,2
2025-Q1,2025,1,Mono,92,11
2025-Q1,2025,1,Monterey,787,511
2025-Q1,2025,1,Napa,765,337
2025-Q1,2025,1,Nevada,206,131
2025-Q1,2025,1,Orange,9982,12554
2025-Q1,2025,1,Placer,855,1181
2025-Q1,2025,1,Plumas,32,9
2025-Q1,2025,1,Riverside,3018,4994
2025-Q1,2025,1,Sacramento,3704,2905
2025-Q1,2025,1,San Benito,61,116
2025-Q1,2025,1,San Bernardino,3227,3830
2025-Q1,2025,1,San Diego,11595,8884
2025-Q1,2025,1,San Francisco,3480,2183
2025-Q1,2025,1,San Joaquin,1164,1163
2025-Q1,2025,1,San Luis Obispo,1202,430
2025-Q1,2025,1,San Mateo,7747,3317
2025-Q1,2025,1,Santa Barbara,1316,698
2025-Q1,2025,1,Santa Clara,29361,8613
2025-Q1,2025,1,Santa Cruz,519,458
2025-Q1,2025,1,Shasta,326,114
2025-Q1,2025,1,Sierra,4,3
2025-Q1,2025,1,Siskiyou,149,19
2025-Q1,2025,1,Solano,926,699
2025-Q1,2025,1,Sonoma,1561,927
2025-Q1,2025,1,Stanislaus,430,536
2025-Q1,2025,1,Sutter,57,73
2025-Q1,2025,1,Tehama,189,25
2025-Q1,2025,1,Trinity,22,2
2025-Q1,2025,1,Tulare,389,243
2025-Q1,2025,1,Tuolumne,101,38
2025-Q1,2025,1,Ventura,1282,2060
2025-Q1,2025,1,Yolo,770,376
2025-Q1,2025,1,Yuba,95,63
2025-Q3,2025,3,Alameda,8089,6954
2025-Q3,2025,3,Alpine,22,2
2025-Q3,2025,3,Amador,67,33
2025-Q3,2025,3,Butte,335,138
2025-Q3,2025,3,Calaveras,48,50
2025-Q3,2025,3,Colusa,50,13
2025-Q3,2025,3,Contra Costa,2667,4143
2025-Q3,2025,3,Del Norte,56,6
2025-Q3,2025,3,El Dorado,346,435
2025-Q3,2025,3,Fresno,2040,1189
2025-Q3,2025,3,Glenn,35,13
2025-Q3,2025,3,Humboldt,328,71
2025-Q3,2025,3,Imperial,207,228
2025-Q3,2025,3,Inyo,147,8
2025-Q3,2025,3,Kern,1631,1015
2025-Q3,2025,3,Kings,501,112
2025-Q3,2025,3,Lake,106,46
2025-Q3,2025,3,Lassen,22,10
2025-Q3,2025,3,Los Angeles,85144,36259
2025-Q3,2025,3,Madera,289,194
2025-Q3,2025,3,Marin,1398,1382
2025-Q3,2025,3,Mariposa,144,13
2025-Q3,2025,3,Mendocino,363,84
2025-Q3,2025,3,Merced,289,204
2025-Q3,2025,3,Modoc,14,0
2025-Q3,2025,3,Mono,106,17
2025-Q3,2025,3,Monterey,792,558
2025-Q3,2025,3,Napa,863,332
2025-Q3,2025,3,Nevada,204,160
2025-Q3,2025,3,Orange,10374,16210
2025-Q3,2025,3,Placer,907,1573
2025-Q3,2025,3,Plumas,36,10
2025-Q3,2025,3,Riverside,3274,6311
2025-Q3,2025,3,Sacramento,3969,3788
2025-Q3,2025,3,San Benito,73,116
2025-Q3,2025,3,San Bernardino,3400,4770
2025-Q3,2025,3,San Diego,12153,11017
2025-Q3,2025,3,San Francisco,3767,2629
2025-Q3,2025,3,San Joaquin,1245,1495
2025-Q3,2025,3,San Luis Obispo,1313,609
2025-Q3,2025,3,San Mateo,8160,3864
2025-Q3,2025,3,Santa Barbara,1335,866
2025-Q3,2025,3,Santa Clara,33687,11167
2025-Q3,2025,3,Santa Cruz,577,525
2025-Q3,2025,3,Shasta,353,169
2025-Q3,2025,3,Sierra,4,3
2025-Q3,2025,3,Siskiyou,148,24
2025-Q3,2025,3,Solano,979,996
2025-Q3,2025,3,Sonoma,1616,1147
2025-Q3,2025,3,Stanislaus,475,656
2025-Q3,2025,3,Sutter,57,116
2025-Q3,2025,3,Tehama,197,29
2025-Q3,2025,3,Trinity,21,6
2025-Q3,2025,3,Tulare,457,383
2025-Q3,2025,3,Tuolumne,98,45
2025-Q3,2025,3,Ventura,1597,2722
2025-Q3,2025,3,Yolo,913,446
2025-Q3,2025,3,Yuba,84,81
