period,year,quarter,county,chargers,zev_sales
2020-Q4,2020,4,Imperial,27,16
2020-Q4,2020,4,Inyo,37,8
2020-Q4,2020,4,Kern,279,203
2020-Q4,2020,4,Kings,144,21
2020-Q4,2020,4,Lake,15,6
2020-Q4,2020,4,Lassen,5,2
2020-Q4,2020,4,Los Angeles,19236,10037
2020-Q4,2020,4,Madera,113,34
2020-Q4,2020,4,Marin,706,606
2020-Q4,2020,4,Mariposa,16,3
2020-Q4,2020,4,Mendocino,144,29
2020-Q4,2020,4,Merced,130,42
2020-Q4,2020,4,Modoc,4,0
2020-Q4,2020,4,Mono,32,6
2020-Q4,2020,4,Monterey,422,201
2020-Q4,2020,4,Napa,374,132
2020-Q4,2020,4,Nevada,93,90
2020-Q4,2020,4,Orange,5242,5034
2020-Q4,2020,4,Placer,351,437
2020-Q4,2020,4,Plumas,7,4
2020-Q4,2020,4,Riverside,1464,1427
2020-Q4,2020,4,Sacramento,1777,851
2020-Q4,2020,4,San Benito,50,47
2020-Q4,2020,4,San Bernardino,1338,1076
2020-Q4,2020,4,San Diego,6874,3276
2020-Q4,2020,4,San Francisco,1505,1425
2020-Q4,2020,4,San Joaquin,389,394
2020-Q4,2020,4,San Luis Obispo,493,228
2020-Q4,2020,4,San Mateo,4070,1282
2020-Q4,2020,4,Santa Barbara,494,392
2020-Q4,2020,4,Santa Clara,15406,3086
2020-Q4,2020,4,Santa Cruz,281,226
2020-Q4,2020,4,Shasta,96,52
2020-Q4,2020,4,Sierra,1,0
2020-Q4,2020,4,Siskiyou,63,5
2020-Q4,2020,4,Solano,372,242
2020-Q4,2020,4,Sonoma,743,421
2020-Q4,2020,4,Stanislaus,145,161
2020-Q4,2020,4,Sutter,31,22
2020-Q4,2020,4,Tehama,32,9
2020-Q4,2020,4,Trinity,8,3
2020-Q4,2020,4,Tulare,103,71
2020-Q4,2020,4,Tuolumne,47,12
2020-Q4,2020,4,Ventura,845,753
2020-Q4,2020,4,Yolo,324,126
2020-Q4,2020,4,Yuba,16,22
2021-Q1,2021,1,Alameda,3544,2751
2021-Q1,2021,1,Alpine,15,3
2021-Q1,2021,1,Amador,40,9
2021-Q1,2021,1,Butte,82,65
2021-Q1,2021,1,Calaveras,19,21
