period,year,quarter,county,fuel_type,sales
2011-Q1,2011,1,Kern,PHEV,2
2011-Q1,2011,1,Kings,PHEV,2
2011-Q1,2011,1,Los Angeles,Electric,28
2011-Q1,2011,1,Los Angeles,Hydrogen,2
2011-Q1,2011,1,Los Angeles,PHEV,88
2011-Q1,2011,1,Marin,Electric,1
2011-Q1,2011,1,Marin,PHEV,8
2011-Q1,2011,1,Monterey,PHEV,8
2011-Q1,2011,1,Napa,Electric,1
2011-Q1,2011,1,Napa,PHEV,3
2011-Q1,2011,1,Orange,Electric,12
2011-Q1,2011,1,Orange,Hydrogen,1
2011-Q1,2011,1,Orange,PHEV,34
2011-Q1,2011,1,Out Of State,Electric,4
2011-Q1,2011,1,Out Of State,PHEV,4
2011-Q1,2011,1,Placer,Electric,4
2011-Q1,2011,1,Placer,PHEV,3
2011-Q1,2011,1,Riverside,PHEV,18
2011-Q1,2011,1,Sacramento,Electric,2
2011-Q1,2011,1,Sacramento,PHEV,4
2011-Q1,2011,1,San Bernardino,PHEV,12
2011-Q1,2011,1,San Diego,Electric,19
2011-Q1,2011,1,San Diego,PHEV,42
2011-Q1,2011,1,San Francisco,Electric,4
2011-Q1,2011,1,San Francisco,PHEV,14
2011-Q1,2011,1,San Joaquin,Electric,1
2011-Q1,2011,1,San Joaquin,PHEV,3
2011-Q1,2011,1,San Luis Obispo,PHEV,3
2011-Q1,2011,1,San Mateo,Electric,7
2011-Q1,2011,1,San Mateo,PHEV,18
2011-Q1,2011,1,Santa Barbara,PHEV,10
2011-Q1,2011,1,Santa Clara,Electric,13
2011-Q1,2011,1,Santa Clara,PHEV,33
2011-Q1,2011,1,Santa Cruz,PHEV,2
2011-Q1,2011,1,Shasta,PHEV,1
2011-Q1,2011,1,Solano,PHEV,2
2011-Q1,2011,1,Sonoma,PHEV,4
2011-Q1,2011,1,Stanislaus,PHEV,1
2011-Q1,2011,1,Tulare,PHEV,2
2011-Q1,2011,1,Ventura,Electric,2
2011-Q1,2011,1,Ventura,PHEV,14
2011-Q1,2011,1,Yolo,Electric,2
2011-Q1,2011,1,Yolo,PHEV,3
2011-Q1,2011,1,Yuba,PHEV,1
2011-Q2,2011,2,Alameda,Electric,88
2011-Q2,2011,2,Alameda,PHEV,26
2011-Q2,2011,2,Butte,Electric,1
2011-Q2,2011,2,Butte,PHEV,1
2011-Q2,2011,2,Calaveras,Electric,1
2011-Q2,2011,2,Calaveras,PHEV,2
2011-Q2,2011,2,Contra Costa,Electric,33
2011-Q2,2011,2,Contra Costa,PHEV,11
2011-Q2,2011,2,El Dorado,Electric,4
2011-Q2,2011,2,El Dorado,PHEV,4
2011-Q2,2011,2,Fresno,Electric,3
2011-Q2,2011,2,Fresno,PHEV,6
2011-Q2,2011,2,Humboldt,Electric,1
2011-Q2,2011,2,Humboldt,PHEV,1
2011-Q2,2011,2,Imperial,PHEV,1
2011-Q2,2011,2,Kern,Electric,2
2011-Q2,2011,2,Kern,PHEV,7
2011-Q2,2011,2,Kings,Electric,1
2011-Q2,2011,2,Los Angeles,Electric,234
2011-Q2,2011,2,Los Angeles,PHEV,118
2011-Q2,2011,2,Madera,Electric,1
2011-Q2,2011,2,Madera,PHEV,1
2011-Q2,2011,2,Marin,Electric,26
2011-Q2,2011,2,Marin,PHEV,10
2011-Q2,2011,2,Mariposa,Electric,1
2011-Q2,2011,2,Mendocino,PHEV,1
2011-Q2,2011,2,Merced,PHEV,1
2011-Q2,2011,2,Monterey,Electric,2
2011-Q2,2011,2,Monterey,PHEV,3
2011-Q2,2011,2,Napa,Electric,4
2011-Q2,2011,2,Napa,PHEV,3
2011-Q2,2011,2,Nevada,Electric,1
2011-Q2,2011,2,Orange,Electric,93
2011-Q2,2011,2,Orange,PHEV,45
2011-Q2,2011,2,Out Of State,Electric,7
2011-Q2,2011,2,Out Of State,PHEV,12
2011-Q2,2011,2,Placer,Electric,6
2011-Q2,2011,2,Placer,PHEV,3
2011-Q2,2011,2,Riverside,Electric,11
2011-Q2,2011,2,Riverside,PHEV,13
